fieldname,datasourcemv,lknamemv,newfieldname,taxonomic
wolfia_spp,Allison Gamble,tetonka,Wolffia sp,Y
wolfia_sp,April Londo,schmidt,Wolffia sp,Y
wolfia,Allison Gamble_19,cedar,Wolffia sp,Y
wolfia,Allison Gamble_19,shields,Wolffia sp,Y
wolfia,Allison Gamble_19,washington,Wolffia sp,Y
wolffia_spp,April Londo,bald eagle,Wolffia sp,Y
wolffia_spp,April Londo,medicine,Wolffia sp,Y
wolffia_spp,April Londo,o'dowd,Wolffia sp,Y
wolffia_spp,April Londo,orchard,Wolffia sp,Y
wolffia_spp,April Londo,schmidt,Wolffia sp,Y
wolffia_spp,April Londo,winona,Wolffia sp,Y
wolffia_sp,sblood,kohlman,Wolffia sp,Y
wolffia_columbiana_common_watermeal,Meg Rattei_19,westwood,Wolffia columbiana,Y
"wolffia_columbiana,common_watermeal",April Londo,jane,Wolffia columbiana,Y
"wolffia_columbiana,common_watermeal",James Johnson,weaver,Wolffia columbiana,Y
"wolffia_columbiana,common_watermeal",Matt Berg,orono,Wolffia columbiana,Y
"wolffia_columbiana,common_watermeal",Meg Rattei,crane,Wolffia columbiana,Y
"wolffia_columbiana,common_watermeal",Meg Rattei,edith,Wolffia columbiana,Y
"wolffia_columbiana,common_watermeal",Meg Rattei,long,Wolffia columbiana,Y
"wolffia_columbiana,common_watermeal",Meg Rattei,sweeney,Wolffia columbiana,Y
"wolffia_columbiana,common_watermeal",Meg Rattei,twin,Wolffia columbiana,Y
"wolffia_columbiana,common_watermeal",Meg Rattei_19,demontreville,Wolffia columbiana,Y
"wolffia_columbiana,common_watermeal",Meg Rattei_19,elmo,Wolffia columbiana,Y
"wolffia_columbiana,common_watermeal",Meg Rattei_19,katherine abbott pond,Wolffia columbiana,Y
"wolffia_columbiana,common_watermeal",Meg Rattei_19,long,Wolffia columbiana,Y
"wolffia_columbiana,common_watermeal",Meg Rattei_19,silver,Wolffia columbiana,Y
"wolffia_columbiana,common_watermeal",Meg Rattei_19,westwood,Wolffia columbiana,Y
"wolffia_columbiana,_comon_watermeal",sblood,kohlman,Wolffia columbiana,Y
"wolffia_columbiana,_common_waterweed",sblood,kohlman,Wolffia columbiana,Y
"wolffia_columbiana,_common_watermeal",Meg Rattei,demontreville,Wolffia columbiana,Y
"wolffia_columbiana,_common_watermeal",Meg Rattei,jane,Wolffia columbiana,Y
"wolffia_columbiana,_common_watermeal",sblood,kohlman,Wolffia columbiana,Y
wolffia_columbiana,brasch,cleary,Wolffia columbiana,Y
wolffia_columbiana,brasch,medicine,Wolffia columbiana,Y
wolffia_columbiana,brasch,sarahe,Wolffia columbiana,Y
wolffia_columbiana,brasch,sarahw,Wolffia columbiana,Y
wolffia_columbiana,sblood,kohlman,Wolffia columbiana,Y
"wolffia_borealis,northern_watermeal",Meg Rattei,westwood,Wolffia borealis,Y
Wolffia columbiana,alexadd,alexadd,Wolffia columbiana,Y
wolffia,sblood,kohlman,Wolffia sp,Y
WOLCOL,alexadd,alexadd,Wolffia columbiana,Y
wolcol,April Londo,rebecca,Wolffia columbiana,Y
WOLBOR,alexadd,alexadd,Wolffia borealis,Y
wm,Andrea Prichard,beaver,Ambiguous please clarify,N
wm,dustin,carlos,Ambiguous please clarify,N
wm,dustin,carrie,Ambiguous please clarify,N
wm,dustin,portage,Ambiguous please clarify,N
wild_rice,Allison Gamble,fish,Zizania sp,Y
wild_rice,Allison Gamble,lily,Zizania sp,Y
wild_rice,Allison Gamble,madison,Zizania sp,Y
wild_rice,April Londo,sarah east,Zizania sp,Y
wild_rice,Cole Loewen,clearwater,Zizania sp,Y
wild_rice,Mark Ranweiler,toad,Zizania sp,Y
wild_celery,Andrea Prichard,little crosby,Vallisneria americana,Y
wild_celery,Andrea Prichard,mccarrons,Vallisneria americana,Y
wild_celery,April Londo,sarah east,Vallisneria americana,Y
wild_celery,crwd,bigcrosby,Vallisneria americana,Y
wild_celery,crwd,como,Vallisneria americana,Y
wild_celery,crwd,loeb,Vallisneria americana,Y
wild_celery,crwd,uppercrosby,Vallisneria americana,Y
wild_celery,Mark Ranweiler,upper cormorant,Vallisneria americana,Y
Widgeon grass,alexadd,alexadd,Ruppia cirrhosa,Y
whtstem,Rob Brown,brownie,Potamogeton praelongus,Y
whtlily,Rob Brown,brownie,Nymphaea odorata,Y
whtlily,Rob Brown,wirth,Nymphaea odorata,Y
Whorled watermilfoil,alexadd,alexadd,Myriophyllum verticillatum,Y
whole_rake_rating,brasch,cleary,whole_rake_density,N
whole_rake_rating,brasch,hyland,whole_rake_density,N
whole_rake_rating,brasch,medicine,whole_rake_density,N
whole_rake_rating,brasch,rebecca,whole_rake_density,N
whole_rake_rating,brasch,sarahe,whole_rake_density,N
whole_rake_rating,brasch,sarahw,whole_rake_density,N
whole_rake_0_5,James Johnson,coal,whole_rake_density,N
whole_rake_0_5,James Johnson,crookneck,whole_rake_density,N
whole_rake_0_5,James Johnson,fish,whole_rake_density,N
whole_rake_0_5,James Johnson,julia,whole_rake_density,N
whole_rake_0_5,James Johnson,lowermission,whole_rake_density,N
whole_rake_0_5,James Johnson,rebecca,whole_rake_density,N
whole_rake_0_5,James Johnson,rush,whole_rake_density,N
whole_rake_0_5,James Johnson,vails,whole_rake_density,N
whole_rake_0_5,James Johnson,weaver,whole_rake_density,N
whole_rake_0_5,newman,ann,whole_rake_density,N
whole_rake_0_5,newman,blueberry,whole_rake_density,N
whole_rake_0_5,newman,clearm,whole_rake_density,N
whole_rake_0_5,newman,coal,whole_rake_density,N
whole_rake_0_5,newman,crookneck,whole_rake_density,N
whole_rake_0_5,newman,fish,whole_rake_density,N
whole_rake_0_5,newman,julia,whole_rake_density,N
whole_rake_0_5,newman,longi,whole_rake_density,N
whole_rake_0_5,newman,lowermission,whole_rake_density,N
whole_rake_0_5,newman,lucy,whole_rake_density,N
whole_rake_0_5,newman,mitchell,whole_rake_density,N
whole_rake_0_5,newman,otter,whole_rake_density,N
whole_rake_0_5,newman,rebecca,whole_rake_density,N
whole_rake_0_5,newman,rush,whole_rake_density,N
whole_rake_0_5,newman,silver,whole_rake_density,N
whole_rake_0_5,newman,smithstonka,whole_rake_density,N
whole_rake_0_5,newman,staring,whole_rake_density,N
whole_rake_0_5,newman,susan,whole_rake_density,N
whole_rake_0_5,newman,vails,whole_rake_density,N
whole_rake_0_5,newman,vetstonka,whole_rake_density,N
whole_rake_0_5,newman,weaver,whole_rake_density,N
whole_rake,Andrea Prichard_19,silver,whole_rake_density,N
whole_rake,Andrea Prichard_19,silver west,whole_rake_density,N
whole_rake,April Londo,diamond,whole_rake_density,N
whole_rake,April Londo,hyland,whole_rake_density,N
whole_rake,April Londo,rebecca,whole_rake_density,N
whole_rake,brasch,cleary,whole_rake_density,N
whole_rake,brasch,hyland,whole_rake_density,N
whole_rake,brasch,medicine,whole_rake_density,N
whole_rake,brasch,rebecca,whole_rake_density,N
whole_rake,brasch,sarahe,whole_rake_density,N
whole_rake,brasch,sarahw,whole_rake_density,N
whole_rake,brasch,silver,whole_rake_density,N
whole_rake,James Johnson,southeast anderson,whole_rake_density,N
whole_rake,James Johnson,weaver,whole_rake_density,N
whole_rake,Jill Sweet,christmas,whole_rake_density,N
whole_rake,Meg Rattei_19,parkers,whole_rake_density,N
whole_rake,newman,ann,whole_rake_density,N
whole_rake,newman,lotus,whole_rake_density,N
whole_rake,newman,lucy,whole_rake_density,N
whole_rake,newman,mitchell,whole_rake_density,N
whole_rake,newman,riley,whole_rake_density,N
whole_rake,newman,staring,whole_rake_density,N
whole_rake,newman,susan,whole_rake_density,N
whitewater_crowfoot,Andrea Prichard,crosby,Ranunculus aquatilis,Y
whitewater_crowfoot,Andrea Prichard,little crosby,Ranunculus aquatilis,Y
whitewater_crowfoot,Andrea Prichard,mccarrons,Ranunculus aquatilis,Y
Whitewater Crowsfoot,alexadd,alexadd,Ranunculus aquatilis,Y
whitestem_pondweed,Mark Ranweiler,upper cormorant,Potamogeton praelongus,Y
whitestem_pondweed,mccomas,reshanau,Potamogeton praelongus,Y
whitestem,Andrea Prichard_19,whitebear,Potamogeton praelongus,Y
whitestem,mccomas,reshanau,Potamogeton praelongus,Y
white_wl_nymphaea_ordata,Allison Gamble,beaver,Nymphaea odorata,Y
white_wl_nymphaea_ordata,Allison Gamble,dudley,Nymphaea odorata,Y
white_wl_nymphaea_ordata,Allison Gamble,frances,Nymphaea odorata,Y
white_wl_nymphaea_ordata,Allison Gamble,kelly,Nymphaea odorata,Y
white_wl_nymphaea_ordata,Allison Gamble,lily,Nymphaea odorata,Y
white_wl_nymphaea_ordata,Allison Gamble,mazaska,Nymphaea odorata,Y
white_wl_nymphaea_ordata,Allison Gamble,reeds,Nymphaea odorata,Y
white_wl_nymphaea_ordata,Allison Gamble,roemhildt,Nymphaea odorata,Y
white_wl_nymphaea_ordata,Allison Gamble,shields,Nymphaea odorata,Y
white_wl_nymphaea_ordata,Allison Gamble_19,shields,Nymphaea odorata,Y
white_wl,Allison Gamble,duck,Nymphaea odorata,Y
white_wl,Allison Gamble,dudley,Nymphaea odorata,Y
white_wl,Allison Gamble,east jefferson,Nymphaea odorata,Y
white_wl,Allison Gamble,fish,Nymphaea odorata,Y
white_wl,Allison Gamble,frances,Nymphaea odorata,Y
white_wl,Allison Gamble,kelly,Nymphaea odorata,Y
white_wl,Allison Gamble,mazaska,Nymphaea odorata,Y
white_wl,Allison Gamble,rays,Nymphaea odorata,Y
white_wl,Allison Gamble,roemhildt,Nymphaea odorata,Y
white_wl,Allison Gamble,shields,Nymphaea odorata,Y
white_wl,Allison Gamble,st.olaf,Nymphaea odorata,Y
white_wl,Allison Gamble,volney,Nymphaea odorata,Y
white_wl,fieldseth,minnewashta,Nymphaea odorata,Y
white_wl,Jill Sweet,east auburn,Nymphaea odorata,Y
white_wl,Jill Sweet,hiawatha,Nymphaea odorata,Y
white_wl,Jill Sweet,libbs,Nymphaea odorata,Y
white_wl,Jill Sweet,minnewashta,Nymphaea odorata,Y
white_wl,Jill Sweet,piersons,Nymphaea odorata,Y
white_wl,Jill Sweet,saunders-east,Nymphaea odorata,Y
white_wl,Jill Sweet,saunders-west,Nymphaea odorata,Y
